year,dam,sire,f_pct,verdict,rescue,reason,top_ancestor,top_contrib_pct
3,SMOKIN HAUTE,MAMGB NATAN SAPA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SNOWMASS ENCHANTED TOUCH,MTAR ORLANDO CLOUD'S MCDREAMY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SNOWMASS MIDNIGHT GAZE,MTAR ORLANDO CLOUD'S MCDREAMY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,MARY'S SIQUANI BELLE,PALLATON'S KALIBAUT ALYST,0.02,PROCEED,,F=0.02% PROCEED; no close common ancestor in the recorded pedigree,,
3,PARAGON'S ESMERALDA,PALLATON'S KALIBAUT ALYST,0.32,PROCEED,,F=0.32% PROCEED; no close common ancestor in the recorded pedigree,4PERUVIAN LEGACY 6016,92.3
3,PATAGONIA'S DUSTY,PALLATON'S KALIBAUT ALYST,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SC'S CARRINGTON,PALLATON'S KALIBAUT ALYST,0.05,PROCEED,,F=0.05% PROCEED; no close common ancestor in the recorded pedigree,,
3,APP OSA PHRENCH BRAID,PATAGONIA'S NERUDA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,APP WILD PHLOX,PATAGONIA'S NERUDA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,CRYSTAL MOCHACCINO,PATAGONIA'S NERUDA,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RR SARAH VAUGHN,PHPC ARTILLERY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,SC'S CRICKIT,PHPC ARTILLERY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RED GRANITES PRIM & PROPER,RED GRANITES BRAVEHEART,0.08,PROCEED,R,rescue: last carrier of CRESCENT MOON'S KRYPTONITE; F=0.08% PROCEED,PPPERUVIAN ROYAL FAWN 6014,32.0
3,VINTAGE CASHMERE'S U-TAUPE-IA,SNOWMASS CONOPA XXX,0.00,PROCEED,R,"rescue: last carrier of MACINTOSH S086 ALOA, PPPERUVIAN PRESTIGE 4999; F=0.00% PROCEED",,
3,SCA PERUVIAN SILVERBELLE,SNOWMASS MATRIX,0.00,PROCEED,R,rescue: last carrier of GARNETT; F=0.00% PROCEED,,
3,HEAVEN'S HILL PERUVIAN CELESTIA,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,HERITAGE SILVER PROMISE,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,HOWLING HILL SING THE BODY ELECTRIC,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,MISS ALOHA MOONSHINE,SUNNYHILL'S ZANG'S BALTAZAR,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,CIRCLE CLIFF'S SWEET CAROLINE,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,MTAR PHASMA,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,RED GRANITES AFTERSHOCK,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
3,WILLOWWIND SL HALO,TCB CORKY,0.00,PROCEED,,F=0.00% PROCEED; no close common ancestor in the recorded pedigree,,
